term,votes,chosen,confidence,margin
blindness,"{""wordnet_lexnames"": [""noun.state""], ""mapped_categories"": [""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
blink,"{""wordnet_lexnames"": [""noun.act"", ""verb.body"", ""verb.perception""], ""mapped_categories"": [""Activities"", ""Health""], ""vote_detail"": null}",Health,,
bloody,"{""wordnet_lexnames"": [""adj.all"", ""adv.all"", ""verb.change""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
blooming,"{""wordnet_lexnames"": [""adj.all"", ""noun.process"", ""verb.change""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
blur,"{""wordnet_lexnames"": [""noun.cognition"", ""verb.change"", ""verb.cognition"", ""verb.contact"", ""verb.perception""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar""], ""vote_detail"": null}",Grammar,,
boiling,"{""wordnet_lexnames"": [""adv.all"", ""noun.act"", ""noun.process"", ""verb.change"", ""verb.emotion"", ""verb.motion""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Travel""], ""vote_detail"": null}",Grammar,,
bolt,"{""wordnet_lexnames"": [""adv.all"", ""noun.act"", ""noun.artifact"", ""noun.phenomenon"", ""verb.change"", ""verb.consumption"", ""verb.contact"", ""verb.motion""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Food"", ""Grammar"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Food,,
bombard,"{""wordnet_lexnames"": [""noun.artifact"", ""verb.change"", ""verb.communication"", ""verb.competition"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
bomber,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.food"", ""noun.person""], ""mapped_categories"": [""Food"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
bombing,"{""wordnet_lexnames"": [""noun.act"", ""verb.competition"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Professional""], ""vote_detail"": null}",Professional,,
bony,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
bookish,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
booklet,"{""wordnet_lexnames"": [""noun.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
bookmark,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
boost,"{""wordnet_lexnames"": [""noun.act"", ""noun.attribute"", ""verb.change"", ""verb.contact"", ""verb.motion"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
booth,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.person""], ""mapped_categories"": [""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
bossy,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
botany,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.group""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Professional""], ""vote_detail"": null}",Grammar,,
bothered,"{""wordnet_lexnames"": [""adj.all"", ""verb.emotion"", ""verb.motion"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Professional"", ""Travel""], ""vote_detail"": null}",Grammar,,
bothersome,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
bourbon,"{""wordnet_lexnames"": [""noun.food"", ""noun.group"", ""noun.person""], ""mapped_categories"": [""Food"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
boxer,"{""wordnet_lexnames"": [""noun.animal"", ""noun.person""], ""mapped_categories"": [""Health"", ""Home"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
bracket,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.communication"", ""noun.group"", ""verb.cognition"", ""verb.communication"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
brag,"{""wordnet_lexnames"": [""adj.all"", ""noun.communication"", ""verb.communication""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
bravery,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.feeling""], ""mapped_categories"": [""Abstract"", ""Emotions""], ""vote_detail"": null}",Emotions,,
breakable,"{""wordnet_lexnames"": [""adj.all"", ""noun.artifact""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Grammar,,
breakdown,"{""wordnet_lexnames"": [""noun.act"", ""noun.cognition"", ""noun.event"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Health""], ""vote_detail"": null}",Grammar,,
breathtaking,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
breezy,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
brewery,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
brilliantly,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
broadband,"{""wordnet_lexnames"": [""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
broadcaster,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.person""], ""mapped_categories"": [""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
broadly,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
brochure,"{""wordnet_lexnames"": [""noun.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
brother-in-law,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
browse,"{""wordnet_lexnames"": [""noun.act"", ""noun.communication"", ""noun.group"", ""verb.consumption"", ""verb.contact"", ""verb.possession""], ""mapped_categories"": [""Activities"", ""Food"", ""Grammar"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
browser,"{""wordnet_lexnames"": [""noun.communication"", ""noun.person""], ""mapped_categories"": [""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
bruise,"{""wordnet_lexnames"": [""noun.state"", ""verb.change"", ""verb.contact"", ""verb.emotion""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
buck,"{""wordnet_lexnames"": [""noun.animal"", ""noun.artifact"", ""noun.person"", ""noun.possession"", ""verb.motion"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
bulimia,"{""wordnet_lexnames"": [""noun.state""], ""mapped_categories"": [""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
bully,"{""wordnet_lexnames"": [""adj.all"", ""noun.person"", ""verb.communication"", ""verb.emotion""], ""mapped_categories"": [""Abstract"", ""Emotions"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
bum,"{""wordnet_lexnames"": [""adj.all"", ""noun.body"", ""noun.person"", ""verb.possession"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
bumper,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
burdensome,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
burgle,"{""wordnet_lexnames"": [""verb.social""], ""mapped_categories"": [""Activities"", ""Professional""], ""vote_detail"": null}",Professional,,
bustle,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
bustling,"{""wordnet_lexnames"": [""adj.all"", ""verb.motion""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Travel""], ""vote_detail"": null}",Grammar,,
but,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
buzz,"{""wordnet_lexnames"": [""noun.act"", ""noun.event"", ""verb.communication"", ""verb.motion"", ""verb.perception"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Travel""], ""vote_detail"": null}",Travel,,
cabinet,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.group""], ""mapped_categories"": [""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
cable,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.communication"", ""noun.quantity"", ""verb.communication"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Home"", ""Shopping"", ""Social"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Social,,
calmly,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
cane,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.plant"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
cannonball,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
canon,"{""wordnet_lexnames"": [""noun.communication"", ""noun.object"", ""noun.person""], ""mapped_categories"": [""Grammar"", ""Health"", ""Home"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
capability,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.cognition"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Emotions"", ""Grammar"", ""Health""], ""vote_detail"": null}",Grammar,,
caption,"{""wordnet_lexnames"": [""noun.communication"", ""verb.possession""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
captive,"{""wordnet_lexnames"": [""adj.all"", ""noun.person""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
caravan,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.group"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
carbon,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.substance""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
carbon,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.substance""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
carbon,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.substance""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
carbon,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.substance""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
cardboard,"{""wordnet_lexnames"": [""adj.all"", ""noun.substance""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
cardigan,"{""wordnet_lexnames"": [""noun.animal"", ""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
carefree,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
caring,"{""wordnet_lexnames"": [""adj.all"", ""noun.feeling"", ""verb.emotion"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Professional""], ""vote_detail"": null}",Grammar,,
cascade,"{""wordnet_lexnames"": [""noun.event"", ""noun.group"", ""noun.object"", ""verb.contact"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Home"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
cast,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.attribute"", ""noun.group"", ""noun.shape"", ""verb.body"", ""verb.communication"", ""verb.competition"", ""verb.contact"", ""verb.creation"", ""verb.motion"", ""verb.possession"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Food"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Food,,
casually,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
catalog,"{""wordnet_lexnames"": [""noun.communication"", ""verb.cognition"", ""verb.creation""], ""mapped_categories"": [""Activities"", ""Food"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
catalyst,"{""wordnet_lexnames"": [""noun.person"", ""noun.substance""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
catastrophe,"{""wordnet_lexnames"": [""noun.event"", ""noun.phenomenon"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Health"", ""Home""], ""vote_detail"": null}",Health,,
catastrophic,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
catchy,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
categorization,"{""wordnet_lexnames"": [""noun.act"", ""noun.cognition"", ""noun.group""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Professional""], ""vote_detail"": null}",Grammar,,
catering,"{""wordnet_lexnames"": [""noun.act"", ""verb.consumption""], ""mapped_categories"": [""Activities"", ""Food""], ""vote_detail"": null}",Food,,
cathedral,"{""wordnet_lexnames"": [""adj.pert"", ""noun.artifact""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Grammar,,
cellar,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
cellist,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
cello,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
cemetery,"{""wordnet_lexnames"": [""noun.location""], ""mapped_categories"": [""Home"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
centigrade,"{""wordnet_lexnames"": [""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
certificate,"{""wordnet_lexnames"": [""noun.communication"", ""noun.possession"", ""verb.communication"", ""verb.possession""], ""mapped_categories"": [""Grammar"", ""Shopping"", ""Social""], ""vote_detail"": null}",Social,,
certification,"{""wordnet_lexnames"": [""noun.act"", ""noun.communication""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
certify,"{""wordnet_lexnames"": [""verb.communication"", ""verb.possession"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Professional""], ""vote_detail"": null}",Professional,,
chancellor,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
chaotic,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
charming,"{""wordnet_lexnames"": [""adj.all"", ""verb.communication"", ""verb.competition"", ""verb.emotion"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Professional""], ""vote_detail"": null}",Grammar,,
checkpoint,"{""wordnet_lexnames"": [""noun.location""], ""mapped_categories"": [""Home"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
cheeky,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
cheerfully,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
cheerfulness,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.feeling""], ""mapped_categories"": [""Abstract"", ""Emotions""], ""vote_detail"": null}",Emotions,,
cherished,"{""wordnet_lexnames"": [""adj.all"", ""verb.emotion""], ""mapped_categories"": [""Abstract"", ""Emotions"", ""Grammar""], ""vote_detail"": null}",Grammar,,
cherry,"{""wordnet_lexnames"": [""adj.all"", ""noun.attribute"", ""noun.food"", ""noun.plant""], ""mapped_categories"": [""Abstract"", ""Food"", ""Grammar""], ""vote_detail"": null}",Food,,
chew,"{""wordnet_lexnames"": [""noun.act"", ""noun.food"", ""verb.consumption""], ""mapped_categories"": [""Activities"", ""Food""], ""vote_detail"": null}",Food,,
childish,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
chimney,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
chop,"{""wordnet_lexnames"": [""noun.act"", ""noun.body"", ""noun.food"", ""noun.phenomenon"", ""verb.competition"", ""verb.contact"", ""verb.creation"", ""verb.motion""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Food"", ""Health"", ""Home"", ""Travel""], ""vote_detail"": null}",Food,,
chunk,"{""wordnet_lexnames"": [""noun.group"", ""noun.quantity"", ""verb.cognition"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Professional"", ""Time & Quantity""], ""vote_detail"": null}",Time & Quantity,,
circuit,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.group"", ""noun.location"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
circuitry,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
circumstance,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.event"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Health""], ""vote_detail"": null}",Grammar,,
cite,"{""wordnet_lexnames"": [""noun.communication"", ""verb.communication"", ""verb.creation""], ""mapped_categories"": [""Activities"", ""Food"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
citywide,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
civilization,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.group"", ""noun.process""], ""mapped_categories"": [""Abstract"", ""Professional""], ""vote_detail"": null}",Professional,,
clam,"{""wordnet_lexnames"": [""noun.animal"", ""noun.food"", ""noun.possession"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Food"", ""Home"", ""Shopping""], ""vote_detail"": null}",Food,,
clap,"{""wordnet_lexnames"": [""noun.event"", ""noun.state"", ""verb.body"", ""verb.communication"", ""verb.contact"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Health"", ""Travel""], ""vote_detail"": null}",Health,,
clarify,"{""wordnet_lexnames"": [""verb.change"", ""verb.communication""], ""mapped_categories"": [], ""vote_detail"": {""Opinions & Communication"": 4, ""Food"": 4}}",Food,0.5,0.0
classification,"{""wordnet_lexnames"": [""noun.act"", ""noun.cognition"", ""noun.group""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Professional""], ""vote_detail"": null}",Grammar,,
clerical,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
climate,"{""wordnet_lexnames"": [""noun.state""], ""mapped_categories"": [""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
clog,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""verb.change"", ""verb.contact"", ""verb.creation""], ""mapped_categories"": [""Activities"", ""Food"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Food,,
closure,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.cognition"", ""noun.communication"", ""verb.change""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Home"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
clumsy,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
coaching,"{""wordnet_lexnames"": [""noun.act"", ""verb.communication"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Travel""], ""vote_detail"": null}",Travel,,
coalition,"{""wordnet_lexnames"": [""noun.act"", ""noun.group"", ""noun.state""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Health"", ""Professional""], ""vote_detail"": null}",Professional,,
coarse,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
coastline,"{""wordnet_lexnames"": [""noun.location""], ""mapped_categories"": [""Home"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
coherence,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
coherent,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
coincidence,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.event""], ""mapped_categories"": [""Abstract"", ""Activities""], ""vote_detail"": null}",Abstract,,
collector,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.object"", ""noun.person""], ""mapped_categories"": [""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
collocation,"{""wordnet_lexnames"": [""noun.act"", ""noun.communication""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
colon,"{""wordnet_lexnames"": [""noun.body"", ""noun.communication"", ""noun.location"", ""noun.quantity""], ""mapped_categories"": [""Grammar"", ""Health"", ""Home"", ""Professional"", ""Social"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Social,,
colonial,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert"", ""noun.person""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
colony,"{""wordnet_lexnames"": [""noun.group"", ""noun.location""], ""mapped_categories"": [""Home"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
colourful,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
coma,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.object"", ""noun.plant""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home""], ""vote_detail"": null}",Grammar,,
comfortably,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
commander,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
commerce,"{""wordnet_lexnames"": [""noun.act"", ""noun.communication"", ""noun.group""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
commission,"{""wordnet_lexnames"": [""noun.act"", ""noun.communication"", ""noun.group"", ""noun.possession"", ""noun.state"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Grammar"", ""Health"", ""Professional"", ""Shopping"", ""Social""], ""vote_detail"": null}",Social,,
commonwealth,"{""wordnet_lexnames"": [""noun.group"", ""noun.location""], ""mapped_categories"": [""Home"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
communicative,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
commute,"{""wordnet_lexnames"": [""noun.act"", ""verb.change"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Travel""], ""vote_detail"": null}",Travel,,
compassion,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.feeling""], ""mapped_categories"": [""Abstract"", ""Emotions""], ""vote_detail"": null}",Emotions,,
compassionate,"{""wordnet_lexnames"": [""adj.all"", ""verb.emotion""], ""mapped_categories"": [""Abstract"", ""Emotions"", ""Grammar""], ""vote_detail"": null}",Grammar,,
compatible,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
compensate,"{""wordnet_lexnames"": [""verb.possession"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Professional""], ""vote_detail"": null}",Professional,,
compensation,"{""wordnet_lexnames"": [""noun.act"", ""noun.possession"", ""noun.process""], ""mapped_categories"": [""Activities"", ""Shopping""], ""vote_detail"": null}",Shopping,,
competent,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
compile,"{""wordnet_lexnames"": [""verb.creation"", ""verb.possession""], ""mapped_categories"": [""Activities"", ""Food""], ""vote_detail"": null}",Food,,
complexion,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.cognition"", ""noun.group"", ""verb.change""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Professional""], ""vote_detail"": null}",Grammar,,
component,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.cognition"", ""noun.relation""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
comprehension,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.relation""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
comprehensive,"{""wordnet_lexnames"": [""adj.all"", ""noun.communication""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
compress,"{""wordnet_lexnames"": [""noun.artifact"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
compulsory,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
