term,votes,chosen
academy,"{""Food"": 2, ""Numbers & Quantities"": 1}",Shopping
accent,"{""Food"": 2, ""Numbers & Quantities"": 1}",Social
acceptance,"{""Food"": 2, ""Numbers & Quantities"": 1}",Social
access,"{""Food"": 2, ""Numbers & Quantities"": 1}",Social
accomplish,"{""Travel"": 2, ""Numbers & Quantities"": 1, ""Social"": 3}",Social
accountant,"{""Travel"": 2, ""Numbers & Quantities"": 1, ""Social"": 3}",Social
accuracy,"{""Travel"": 2, ""Numbers & Quantities"": 1, ""Social"": 3}",Abstract
adopt,"{""Social"": 3, ""Feelings & Emotions"": 1, ""Travel"": 2, ""Opinions & Communication"": 3}",Social
afford,"{""Food"": 3, ""Calendar & Time"": 1, ""Travel"": 2}",Food
amusing,"{""Social"": 3, ""Opinions & Communication"": 4, ""Feelings & Emotions"": 1}",Social
animated,"{""Medical & Health"": 5, ""Travel"": 4, ""Food"": 4}",Health
animation,"{""Medical & Health"": 5, ""Travel"": 4, ""Food"": 4}",Health
annually,"{""Travel"": 2, ""Calendar & Time"": 2}",Travel
anyhow,"{""Events & Activities"": 1, ""Opinions & Communication"": 1}",Activities
ape,"{""Events & Activities"": 1, ""Opinions & Communication"": 1}",Social
approximately,"{""Calendar & Time"": 1, ""Events & Activities"": 1}",Numbers
attach,"{""Social"": 3, ""Food"": 2, ""Feelings & Emotions"": 1}",Social
attachment,"{""Social"": 3, ""Food"": 2, ""Feelings & Emotions"": 1}",Social
attract,"{""Feelings & Emotions"": 1, ""Travel"": 2, ""Events & Activities"": 1}",Travel
attraction,"{""Feelings & Emotions"": 1, ""Travel"": 2, ""Events & Activities"": 1}",Social
authority,"{""Feelings & Emotions"": 1, ""Travel"": 2, ""Events & Activities"": 1}",Social
auxiliary,"{""Feelings & Emotions"": 1, ""Travel"": 2, ""Events & Activities"": 1}",Social
avenue,"{""Feelings & Emotions"": 1, ""Travel"": 2, ""Events & Activities"": 1}",Shopping
awesome,"{""Food"": 2, ""Numbers & Quantities"": 1, ""Opinions & Communication"": 1}",Food
bare,"{""Feelings & Emotions"": 1, ""Opinions & Communication"": 4, ""Numbers & Quantities"": 1, ""Food"": 4, ""Calendar & Time"": 1, ""Medical & Health"": 2}",Food
barely,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Food
bark,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Shopping
barman,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Social
barrel,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Numbers
basement,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Shopping
basin,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Numbers
basis,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Grammar
bathe,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Activities
battle,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Activities
beard,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Social
beast,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Social
canned,"{""Food"": 2, ""Social"": 3, ""Calendar & Time"": 1}",Social
canteen,"{""Food"": 2, ""Social"": 3, ""Calendar & Time"": 1}",Shopping
casual,"{""Travel"": 4, ""Food"": 4, ""Calendar & Time"": 3, ""Feelings & Emotions"": 1}",Food
characterize,"{""Opinions & Communication"": 3, ""Medical & Health"": 2}",Social
charge,"{""Opinions & Communication"": 3, ""Medical & Health"": 2}",Social
chariot,"{""Opinions & Communication"": 3, ""Medical & Health"": 2}",Shopping
charm,"{""Opinions & Communication"": 3, ""Medical & Health"": 2}",Social
chase,"{""Opinions & Communication"": 3, ""Medical & Health"": 2}",Social
chat,"{""Opinions & Communication"": 3, ""Medical & Health"": 2}",Social
cheat,"{""Opinions & Communication"": 3, ""Medical & Health"": 2}",Social
check-in,"{""Opinions & Communication"": 3, ""Medical & Health"": 2}",Activities
check-in,"{""Opinions & Communication"": 3, ""Medical & Health"": 2}",Activities
checkout,"{""Opinions & Communication"": 3, ""Medical & Health"": 2}",Numbers
civil,"{""Numbers & Quantities"": 1, ""Calendar & Time"": 1}",Numbers
civilization,"{""Numbers & Quantities"": 1, ""Calendar & Time"": 1}",Professional
compose,"{""Food"": 2, ""Opinions & Communication"": 3}",Social
composition,"{""Food"": 2, ""Opinions & Communication"": 3}",Social
compound,"{""Food"": 2, ""Opinions & Communication"": 3}",Grammar
compromise,"{""Food"": 2, ""Opinions & Communication"": 3}",Social
concentration,"{""Food"": 2, ""Opinions & Communication"": 3}",Grammar
concept,"{""Food"": 2, ""Opinions & Communication"": 3}",Grammar
concerned,"{""Calendar & Time"": 1, ""Food"": 2, ""Feelings & Emotions"": 1, ""Travel"": 2}",Food
confirm,"{""Opinions & Communication"": 6, ""Social"": 6}",Social
confirmation,"{""Opinions & Communication"": 6, ""Social"": 6}",Social
conflict,"{""Opinions & Communication"": 6, ""Social"": 6}",Social
conscious,"{""Opinions & Communication"": 1, ""Numbers & Quantities"": 1, ""Travel"": 2}",Travel
considerable,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Numbers
consideration,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Social
consonant,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Social
constitute,"{""Calendar & Time"": 1, ""Social"": 3, ""Food"": 2}",Social
constitution,"{""Calendar & Time"": 1, ""Social"": 3, ""Food"": 2}",Social
construct,"{""Calendar & Time"": 1, ""Social"": 3, ""Food"": 2}",Grammar
construction,"{""Calendar & Time"": 1, ""Social"": 3, ""Food"": 2}",Social
continuous,"{""Medical & Health"": 2, ""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Health
contrary,"{""Opinions & Communication"": 1, ""Feelings & Emotions"": 1}",Social
countless,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Numbers
county,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Professional
courage,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Abstract
courageous,"{""Medical & Health"": 2, ""Feelings & Emotions"": 1}",Health
courgette,"{""Medical & Health"": 2, ""Feelings & Emotions"": 1}",Food
cruel,"{""Food"": 2, ""Medical & Health"": 2}",Food
crush,"{""Food"": 2, ""Medical & Health"": 2}",Professional
cucumber,"{""Food"": 2, ""Medical & Health"": 2}",Food
cultivate,"{""Social"": 3, ""Travel"": 2}",Social
cultural,"{""Events & Activities"": 1, ""Food"": 2}",Food
cure,"{""Events & Activities"": 1, ""Food"": 2}",Shopping
curiosity,"{""Events & Activities"": 1, ""Food"": 2}",Grammar
currently,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Emotions
curriculum,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Social
curtain,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Shopping
curve,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Social
cushion,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Shopping
customs,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Grammar
deliver,"{""Opinions & Communication"": 10, ""Numbers & Quantities"": 1, ""Social"": 9, ""Feelings & Emotions"": 1, ""Travel"": 2, ""Medical & Health"": 3, ""Calendar & Time"": 1}",Social
delivery,"{""Opinions & Communication"": 10, ""Numbers & Quantities"": 1, ""Social"": 9, ""Feelings & Emotions"": 1, ""Travel"": 2, ""Medical & Health"": 3, ""Calendar & Time"": 1}",Social
demand,"{""Opinions & Communication"": 10, ""Numbers & Quantities"": 1, ""Social"": 9, ""Feelings & Emotions"": 1, ""Travel"": 2, ""Medical & Health"": 3, ""Calendar & Time"": 1}",Social
democracy,"{""Opinions & Communication"": 10, ""Numbers & Quantities"": 1, ""Social"": 9, ""Feelings & Emotions"": 1, ""Travel"": 2, ""Medical & Health"": 3, ""Calendar & Time"": 1}",Grammar
depressed,"{""Travel"": 3, ""Events & Activities"": 1, ""Food"": 2, ""Feelings & Emotions"": 1}",Travel
directly,"{""Numbers & Quantities"": 1, ""Food"": 2, ""Calendar & Time"": 1}",Food
dirt,"{""Numbers & Quantities"": 1, ""Food"": 2, ""Calendar & Time"": 1}",Social
disability,"{""Numbers & Quantities"": 1, ""Food"": 2, ""Calendar & Time"": 1}",Health
disable,"{""Medical & Health"": 3, ""Travel"": 2}",Health
disabled,"{""Medical & Health"": 3, ""Travel"": 2}",Professional
disagreement,"{""Medical & Health"": 3, ""Travel"": 2}",Social
disastrous,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Events & Activities"": 1}",Food
disc,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Events & Activities"": 1}",Shopping
discomfort,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Events & Activities"": 1}",Health
discount,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1, ""Events & Activities"": 1}",Shopping
distant,"{""Numbers & Quantities"": 1, ""Calendar & Time"": 1, ""Events & Activities"": 1}",Numbers
distinction,"{""Numbers & Quantities"": 1, ""Calendar & Time"": 1, ""Events & Activities"": 1}",Grammar
distribute,"{""Food"": 2, ""Social"": 3, ""Travel"": 3, ""Opinions & Communication"": 3}",Social
distribution,"{""Food"": 2, ""Social"": 3, ""Travel"": 3, ""Opinions & Communication"": 3}",Grammar
district,"{""Food"": 2, ""Social"": 3, ""Travel"": 3, ""Opinions & Communication"": 3}",Professional
disturbance,"{""Food"": 2, ""Social"": 3, ""Travel"": 3, ""Opinions & Communication"": 3}",Health
dive,"{""Food"": 2, ""Social"": 3, ""Travel"": 3, ""Opinions & Communication"": 3}",Social
diver,"{""Food"": 2, ""Social"": 3, ""Travel"": 3, ""Opinions & Communication"": 3}",Social
dolphin,"{""Food"": 2, ""Events & Activities"": 1}",Food
economic,"{""Food"": 2, ""Calendar & Time"": 1}",Food
economics,"{""Food"": 2, ""Calendar & Time"": 1}",Grammar
economy,"{""Food"": 2, ""Calendar & Time"": 1}",Grammar
ecosystem,"{""Food"": 2, ""Calendar & Time"": 1}",Professional
ecstasy,"{""Food"": 2, ""Calendar & Time"": 1}",Shopping
edge,"{""Food"": 2, ""Calendar & Time"": 1}",Shopping
edition,"{""Food"": 2, ""Calendar & Time"": 1}",Social
effective,"{""Events & Activities"": 1, ""Food"": 2, ""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Food
effectively,"{""Numbers & Quantities"": 1, ""Opinions & Communication"": 1}",Numbers
efficiency,"{""Numbers & Quantities"": 1, ""Opinions & Communication"": 1}",Grammar
eliminate,"{""Numbers & Quantities"": 2, ""Opinions & Communication"": 3, ""Medical & Health"": 3, ""Food"": 2}",Social
encouraging,"{""Social"": 3, ""Opinions & Communication"": 3, ""Medical & Health"": 2, ""Food"": 2}",Social
encyclopedia,"{""Social"": 3, ""Opinions & Communication"": 3, ""Medical & Health"": 2, ""Food"": 2}",Social
endanger,"{""Food"": 2, ""Opinions & Communication"": 3, ""Feelings & Emotions"": 1}",Social
endless,"{""Food"": 2, ""Numbers & Quantities"": 1, ""Calendar & Time"": 1}",Food
entertain,"{""Social"": 3, ""Opinions & Communication"": 3, ""Numbers & Quantities"": 1, ""Feelings & Emotions"": 1}",Social
entertainer,"{""Social"": 3, ""Opinions & Communication"": 3, ""Numbers & Quantities"": 1, ""Feelings & Emotions"": 1}",Social
enthusiasm,"{""Social"": 3, ""Opinions & Communication"": 3, ""Numbers & Quantities"": 1, ""Feelings & Emotions"": 1}",Grammar
enthusiast,"{""Social"": 3, ""Opinions & Communication"": 3, ""Numbers & Quantities"": 1, ""Feelings & Emotions"": 1}",Social
entire,"{""Numbers & Quantities"": 1, ""Calendar & Time"": 1}",Numbers
experienced,"{""Opinions & Communication"": 3, ""Feelings & Emotions"": 3}",Social
farther,"{""Calendar & Time"": 3, ""Travel"": 2, ""Food"": 2}",Numbers
favorable,"{""Food"": 2, ""Calendar & Time"": 3}",Numbers
favour,"{""Food"": 2, ""Calendar & Time"": 3}",Grammar
fax,"{""Food"": 2, ""Calendar & Time"": 3}",Shopping
feast,"{""Food"": 2, ""Calendar & Time"": 3}",Food
fellow,"{""Food"": 2, ""Calendar & Time"": 3}",Numbers
ferry,"{""Food"": 2, ""Calendar & Time"": 3}",Shopping
fixed,"{""Opinions & Communication"": 3, ""Food"": 2, ""Calendar & Time"": 1, ""Events & Activities"": 3, ""Travel"": 4, ""Medical & Health"": 5, ""Social"": 3, ""Numbers & Quantities"": 1}",Health
flash,"{""Opinions & Communication"": 3, ""Food"": 2, ""Calendar & Time"": 1, ""Events & Activities"": 3, ""Travel"": 4, ""Medical & Health"": 5, ""Social"": 3, ""Numbers & Quantities"": 1}",Numbers
flavor,"{""Opinions & Communication"": 3, ""Food"": 2, ""Calendar & Time"": 1, ""Events & Activities"": 3, ""Travel"": 4, ""Medical & Health"": 5, ""Social"": 3, ""Numbers & Quantities"": 1}",Grammar
flock,"{""Opinions & Communication"": 3, ""Food"": 2, ""Calendar & Time"": 1, ""Events & Activities"": 3, ""Travel"": 4, ""Medical & Health"": 5, ""Social"": 3, ""Numbers & Quantities"": 1}",Numbers
flow,"{""Opinions & Communication"": 3, ""Food"": 2, ""Calendar & Time"": 1, ""Events & Activities"": 3, ""Travel"": 4, ""Medical & Health"": 5, ""Social"": 3, ""Numbers & Quantities"": 1}",Numbers
forbidden,"{""Opinions & Communication"": 3, ""Travel"": 4, ""Social"": 3}",Travel
forecast,"{""Opinions & Communication"": 3, ""Travel"": 4, ""Social"": 3}",Social
forehead,"{""Opinions & Communication"": 3, ""Travel"": 4, ""Social"": 3}",Health
forgive,"{""Opinions & Communication"": 3, ""Calendar & Time"": 1, ""Social"": 3}",Social
freely,"{""Food"": 2, ""Medical & Health"": 2}",Food
freezer,"{""Food"": 2, ""Medical & Health"": 2}",Shopping
fuel,"{""Calendar & Time"": 1, ""Travel"": 2, ""Food"": 2}",Food
full,"{""Calendar & Time"": 1, ""Travel"": 2, ""Food"": 2}",Numbers
full-time,"{""Calendar & Time"": 2, ""Events & Activities"": 1, ""Numbers & Quantities"": 1}",Numbers
fund,"{""Calendar & Time"": 2, ""Events & Activities"": 1, ""Numbers & Quantities"": 1}",Shopping
funeral,"{""Calendar & Time"": 2, ""Events & Activities"": 1, ""Numbers & Quantities"": 1}",Activities
fur,"{""Calendar & Time"": 2, ""Events & Activities"": 1, ""Numbers & Quantities"": 1}",Shopping
furthermore,"{""Calendar & Time"": 1, ""Events & Activities"": 1}",Numbers
generate,"{""Travel"": 2, ""Calendar & Time"": 1, ""Medical & Health"": 3}",Health
genetic,"{""Food"": 2, ""Medical & Health"": 2}",Food
glorious,"{""Travel"": 2, ""Events & Activities"": 1, ""Food"": 2}",Food
glory,"{""Travel"": 2, ""Events & Activities"": 1, ""Food"": 2}",Health
goalkeeper,"{""Travel"": 2, ""Events & Activities"": 1, ""Food"": 2}",Social
goddess,"{""Travel"": 2, ""Events & Activities"": 1, ""Food"": 2}",Social
golfer,"{""Travel"": 2, ""Events & Activities"": 1, ""Food"": 2}",Social
goodness,"{""Travel"": 2, ""Events & Activities"": 1, ""Food"": 2}",Abstract
goods,"{""Travel"": 2, ""Events & Activities"": 1, ""Food"": 2}",Shopping
hasty,"{""Food"": 2, ""Numbers & Quantities"": 1}",Food
hatch,"{""Food"": 2, ""Numbers & Quantities"": 1}",Shopping
hatred,"{""Food"": 2, ""Numbers & Quantities"": 1}",Emotions
haunt,"{""Food"": 2, ""Numbers & Quantities"": 1}",Professional
haven,"{""Food"": 2, ""Numbers & Quantities"": 1}",Shopping
hazard,"{""Food"": 2, ""Numbers & Quantities"": 1}",Shopping
headline,"{""Food"": 2, ""Numbers & Quantities"": 1}",Social
hesitate,"{""Events & Activities"": 1, ""Opinions & Communication"": 1}",Activities
historical,"{""Events & Activities"": 1, ""Calendar & Time"": 2}",Numbers
holy,"{""Events & Activities"": 1, ""Calendar & Time"": 2}",Professional
homeless,"{""Events & Activities"": 1, ""Calendar & Time"": 2}",Social
hopefully,"{""Food"": 2, ""Calendar & Time"": 1}",Food
illuminate,"{""Opinions & Communication"": 3, ""Medical & Health"": 2}",Social
imaginary,"{""Opinions & Communication"": 3, ""Medical & Health"": 2}",Numbers
immediate,"{""Calendar & Time"": 2, ""Events & Activities"": 1}",Numbers
immigrant,"{""Calendar & Time"": 2, ""Events & Activities"": 1}",Social
impressive,"{""Events & Activities"": 1, ""Opinions & Communication"": 1}",Activities
incorrect,"{""Calendar & Time"": 1, ""Medical & Health"": 2}",Health
indirect,"{""Calendar & Time"": 1, ""Food"": 2}",Food
injured,"{""Medical & Health"": 3, ""Feelings & Emotions"": 2, ""Travel"": 2, ""Events & Activities"": 1}",Health
ink,"{""Medical & Health"": 3, ""Feelings & Emotions"": 2, ""Travel"": 2, ""Events & Activities"": 1}",Health
intermediate,"{""Opinions & Communication"": 3, ""Travel"": 2, ""Calendar & Time"": 1}",Social
intermission,"{""Opinions & Communication"": 3, ""Travel"": 2, ""Calendar & Time"": 1}",Numbers
internal,"{""Events & Activities"": 1, ""Numbers & Quantities"": 1, ""Opinions & Communication"": 1}",Activities
interrupt,"{""Travel"": 2, ""Opinions & Communication"": 3, ""Events & Activities"": 1}",Social
interval,"{""Travel"": 2, ""Opinions & Communication"": 3, ""Events & Activities"": 1}",Numbers
interviewee,"{""Travel"": 2, ""Opinions & Communication"": 3, ""Events & Activities"": 1}",Social
invasion,"{""Travel"": 2, ""Opinions & Communication"": 3, ""Events & Activities"": 1}",Activities
involved,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 3, ""Numbers & Quantities"": 1, ""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Social
iron,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 3, ""Numbers & Quantities"": 1, ""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Shopping
ironing,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 3, ""Numbers & Quantities"": 1, ""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Shopping
irregular,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 3, ""Numbers & Quantities"": 1, ""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Social
lasting,"{""Food"": 4, ""Calendar & Time"": 4, ""Numbers & Quantities"": 1, ""Travel"": 2}",Food
latecomer,"{""Food"": 4, ""Calendar & Time"": 4, ""Numbers & Quantities"": 1, ""Travel"": 2}",Social
lately,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Emotions
launch,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Shopping
lessen,"{""Numbers & Quantities"": 1, ""Medical & Health"": 2}",Health
lettuce,"{""Numbers & Quantities"": 1, ""Medical & Health"": 2}",Food
liar,"{""Numbers & Quantities"": 1, ""Medical & Health"": 2}",Social
massive,"{""Travel"": 2, ""Food"": 2, ""Numbers & Quantities"": 1}",Food
mathematician,"{""Travel"": 2, ""Food"": 2, ""Numbers & Quantities"": 1}",Professional
maximum,"{""Travel"": 2, ""Food"": 2, ""Numbers & Quantities"": 1}",Numbers
mayor,"{""Travel"": 2, ""Food"": 2, ""Numbers & Quantities"": 1}",Social
mental,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1, ""Opinions & Communication"": 1, ""Medical & Health"": 2}",Health
mild,"{""Medical & Health"": 2, ""Calendar & Time"": 1}",Health
mine,"{""Medical & Health"": 2, ""Calendar & Time"": 1}",Shopping
mislead,"{""Travel"": 3, ""Opinions & Communication"": 3}",Travel
mission,"{""Travel"": 3, ""Opinions & Communication"": 3}",Professional
moreover,"{""Calendar & Time"": 1, ""Events & Activities"": 1}",Numbers
mourn,"{""Feelings & Emotions"": 1, ""Food"": 2}",Food
mud,"{""Feelings & Emotions"": 1, ""Food"": 2}",Social
mule,"{""Feelings & Emotions"": 1, ""Food"": 2}",Shopping
murderer,"{""Feelings & Emotions"": 1, ""Food"": 2}",Social
muscle,"{""Feelings & Emotions"": 1, ""Food"": 2}",Social
mustard,"{""Feelings & Emotions"": 1, ""Food"": 2}",Food
naked,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Numbers
nap,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Numbers
nasty,"{""Feelings & Emotions"": 1, ""Opinions & Communication"": 1}",Emotions
nationalist,"{""Feelings & Emotions"": 1, ""Opinions & Communication"": 1}",Professional
negotiate,"{""Opinions & Communication"": 3, ""Travel"": 3}",Travel
negotiation,"{""Opinions & Communication"": 3, ""Travel"": 3}",Social
neighborhood,"{""Opinions & Communication"": 3, ""Travel"": 3}",Social
neighbourhood,"{""Opinions & Communication"": 3, ""Travel"": 3}",Social
nephew,"{""Opinions & Communication"": 3, ""Travel"": 3}",Social
nervousness,"{""Opinions & Communication"": 3, ""Travel"": 3}",Health
ness,"{""Opinions & Communication"": 3, ""Travel"": 3}",Home
neutral,"{""Opinions & Communication"": 3, ""Travel"": 3}",Social
next,"{""Calendar & Time"": 2, ""Medical & Health"": 2}",Numbers
numerous,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1}",Numbers
obviously,"{""Food"": 2, ""Medical & Health"": 2, ""Calendar & Time"": 1}",Food
occasion,"{""Food"": 2, ""Medical & Health"": 2, ""Calendar & Time"": 1}",Numbers
occur,"{""Opinions & Communication"": 3, ""Food"": 2}",Social
odd,"{""Opinions & Communication"": 1, ""Numbers & Quantities"": 1, ""Food"": 2}",Food
offensive,"{""Opinions & Communication"": 1, ""Numbers & Quantities"": 1, ""Food"": 2}",Activities
organic,"{""Travel"": 2, ""Medical & Health"": 2, ""Food"": 2}",Food
outdoor,"{""Events & Activities"": 1, ""Travel"": 2}",Travel
outdoors,"{""Events & Activities"": 1, ""Travel"": 2}",Professional
outer,"{""Calendar & Time"": 2, ""Food"": 2, ""Travel"": 2}",Food
outlaw,"{""Calendar & Time"": 2, ""Food"": 2, ""Travel"": 2}",Social
outline,"{""Calendar & Time"": 2, ""Food"": 2, ""Travel"": 2}",Social
overnight,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 1}",Food
overwhelm,"{""Feelings & Emotions"": 1, ""Opinions & Communication"": 3, ""Food"": 2}",Social
overwhelming,"{""Feelings & Emotions"": 2, ""Opinions & Communication"": 3, ""Food"": 2}",Social
overwork,"{""Feelings & Emotions"": 2, ""Opinions & Communication"": 3, ""Food"": 2}",Activities
owe,"{""Opinions & Communication"": 1, ""Travel"": 2}",Travel
owing,"{""Opinions & Communication"": 1, ""Travel"": 2, ""Numbers & Quantities"": 1}",Travel
paralyze,"{""Numbers & Quantities"": 1, ""Feelings & Emotions"": 1}",Numbers
parcel,"{""Numbers & Quantities"": 1, ""Feelings & Emotions"": 1}",Shopping
part-time,"{""Calendar & Time"": 2, ""Events & Activities"": 1, ""Numbers & Quantities"": 1}",Numbers
partial,"{""Calendar & Time"": 2, ""Events & Activities"": 1, ""Numbers & Quantities"": 1}",Grammar
participant,"{""Calendar & Time"": 2, ""Events & Activities"": 1, ""Numbers & Quantities"": 1}",Social
participate,"{""Social"": 3, ""Food"": 2}",Social
participle,"{""Social"": 3, ""Food"": 2}",Social
persuade,"{""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 4}",Social
pleasantly,"{""Food"": 2, ""Feelings & Emotions"": 1}",Food
plot,"{""Food"": 2, ""Feelings & Emotions"": 1}",Social
plug,"{""Food"": 2, ""Feelings & Emotions"": 1}",Food
pocket,"{""Food"": 2, ""Feelings & Emotions"": 1}",Shopping
poet,"{""Food"": 2, ""Feelings & Emotions"": 1}",Social
poetry,"{""Food"": 2, ""Feelings & Emotions"": 1}",Social
poison,"{""Food"": 2, ""Feelings & Emotions"": 1}",Abstract
possess,"{""Food"": 2, ""Travel"": 2, ""Feelings & Emotions"": 1}",Food
possessive,"{""Food"": 2, ""Travel"": 2, ""Feelings & Emotions"": 1}",Social
postcard,"{""Food"": 2, ""Travel"": 2, ""Feelings & Emotions"": 1}",Social
postman,"{""Food"": 2, ""Travel"": 2, ""Feelings & Emotions"": 1}",Social
pot,"{""Food"": 2, ""Travel"": 2, ""Feelings & Emotions"": 1}",Numbers
potential,"{""Food"": 2, ""Travel"": 2, ""Feelings & Emotions"": 1}",Health
pottery,"{""Food"": 2, ""Travel"": 2, ""Feelings & Emotions"": 1}",Shopping
poverty,"{""Food"": 2, ""Travel"": 2, ""Feelings & Emotions"": 1}",Health
powder,"{""Food"": 2, ""Travel"": 2, ""Feelings & Emotions"": 1}",Shopping
precious,"{""Feelings & Emotions"": 1, ""Food"": 2, ""Calendar & Time"": 1}",Food
preference,"{""Feelings & Emotions"": 1, ""Food"": 2, ""Calendar & Time"": 1}",Grammar
prefix,"{""Feelings & Emotions"": 1, ""Food"": 2, ""Calendar & Time"": 1}",Social
prepared,"{""Travel"": 8, ""Events & Activities"": 1, ""Food"": 4, ""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 7, ""Numbers & Quantities"": 2}",Travel
preposition,"{""Travel"": 8, ""Events & Activities"": 1, ""Food"": 4, ""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 7, ""Numbers & Quantities"": 2}",Social
preschool,"{""Travel"": 8, ""Events & Activities"": 1, ""Food"": 4, ""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 7, ""Numbers & Quantities"": 2}",Professional
prescription,"{""Travel"": 8, ""Events & Activities"": 1, ""Food"": 4, ""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 7, ""Numbers & Quantities"": 2}",Health
presence,"{""Travel"": 8, ""Events & Activities"": 1, ""Food"": 4, ""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 7, ""Numbers & Quantities"": 2}",Social
presentation,"{""Travel"": 8, ""Events & Activities"": 1, ""Food"": 4, ""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 7, ""Numbers & Quantities"": 2}",Social
preservation,"{""Travel"": 8, ""Events & Activities"": 1, ""Food"": 4, ""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 7, ""Numbers & Quantities"": 2}",Health
preserve,"{""Travel"": 8, ""Events & Activities"": 1, ""Food"": 4, ""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 7, ""Numbers & Quantities"": 2}",Food
press,"{""Travel"": 8, ""Events & Activities"": 1, ""Food"": 4, ""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 7, ""Numbers & Quantities"": 2}",Social
productive,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1, ""Food"": 2}",Food
profession,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1, ""Food"": 2}",Professional
profit,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1, ""Food"": 2}",Shopping
program,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1, ""Food"": 2}",Social
prohibition,"{""Calendar & Time"": 1, ""Numbers & Quantities"": 1, ""Food"": 2}",Numbers
prominent,"{""Food"": 2, ""Calendar & Time"": 1}",Food
prosperous,"{""Travel"": 2, ""Calendar & Time"": 3}",Numbers
protection,"{""Travel"": 2, ""Calendar & Time"": 3}",Shopping
provided,"{""Food"": 7, ""Opinions & Communication"": 3, ""Social"": 3, ""Travel"": 6, ""Calendar & Time"": 2, ""Numbers & Quantities"": 1}",Food
